uptime;angle;pulse_us;done
36281616;125;1888;0
36341218;55;1111;0
36351229;121;1844;0
36361233;125;1888;0
36382477;55;1111;0
36391214;125;1888;0
36401233;129;1933;0
36411234;105;1666;0
36421232;129;1933;0
36452220;125;1888;0
36501370;83;1422;0
36511315;125;1888;0
36541380;55;1111;0
36551324;125;1888;0
36562033;129;1933;0
36611243;125;1888;0
36641230;129;1933;0
36760621;127;1911;0
36762566;129;1933;0
36792245;55;1111;0
36801215;125;1888;0
36821404;59;1155;0
36831210;121;1844;0
36841246;125;1888;0
36862468;55;1111;0
36871409;125;1888;0
36881198;121;1844;0
36891217;59;1155;0
36901200;121;1844;0
36931248;59;1155;0
36941313;121;1844;0
36981212;125;1888;0
37001231;64;1211;0
37011225;125;1888;0
37042016;55;1111;0
37051207;125;1888;0
37071885;129;1933;0
37091362;125;1888;0
37111347;101;1622;0
37121499;125;1888;0
37141324;129;1933;0
37151353;125;1888;0
37171938;55;1111;0
37181326;125;1888;0
37231207;121;1844;0
37241238;59;1155;0
37251211;121;1844;0
37261228;125;1888;0
37291227;129;1933;0
37301248;55;1111;0
37311225;125;1888;0
37321434;51;1066;0
37331215;129;1933;0
37351332;125;1888;0
37361450;55;1111;0
37371530;129;1933;0
37381746;125;1888;0
37402070;51;1066;0
37411205;129;1933;0
37431214;125;1888;0
37451226;55;1111;0
37461208;125;1888;0
37492586;55;1111;0
37501256;125;1888;0
37511212;129;1933;0
37521408;51;1066;0
37531213;129;1933;0
37541236;120;1833;0
37551242;125;1888;0
37571520;129;1933;0
37581324;125;1888;0
37602397;55;1111;0
37611232;125;1888;0
37631236;97;1577;0
37641223;125;1888;0
37672355;55;1111;0
37681197;121;1844;0
37701236;59;1155;0
37711593;121;1844;0
37731364;125;1888;0
37871380;55;1111;0
37881215;125;1888;0
37892147;99;1600;0
37901253;125;1888;0
37921519;55;1111;0
37931347;129;1933;0
37941398;125;1888;0
37981250;129;1933;0
37991229;55;1111;0
38001201;125;1888;0
38011252;55;1111;0
38021401;125;1888;0
38031243;129;1933;0
38081634;55;1111;0
38091234;125;1888;0
38101248;55;1111;0
38111217;124;1877;0
38122230;125;1888;0
38151213;51;1066;0
38161203;129;1933;0
38171248;51;1066;0
38181615;125;1888;0
38191239;87;1466;0
38201247;125;1888;0
38241218;129;1933;0
38281649;65;1222;0
38291244;125;1888;0
38322072;55;1111;0
38331246;121;1844;0
38401327;125;1888;0
38411391;55;1111;0
38421329;125;1888;0
38481342;51;1066;0
38491751;129;1933;0
38501349;125;1888;0
38571317;55;1111;0
38581318;129;1933;0
38591716;125;1888;0
38612214;82;1411;0
38621208;121;1844;0
38641517;59;1155;0
38651338;121;1844;0
38731248;59;1155;0
38741406;125;1888;0
38751263;106;1677;0
38761213;121;1844;0
38841403;110;1722;0
38851234;118;1811;0
38962571;121;1844;0
38971390;59;1155;0
38981369;121;1844;0
39021399;80;1388;0
39031223;125;1888;0
39062410;55;1111;0
39071442;125;1888;0
39091216;55;1111;0
39101229;125;1888;0
39132191;55;1111;0
39141208;116;1788;0
39161221;125;1888;0
39171918;129;1933;0
39202032;51;1066;0
39211207;125;1888;0
39251226;55;1111;0
39261226;125;1888;0
39271434;70;1277;0
39281594;125;1888;0
39291225;121;1844;0
39341329;59;1155;0
39351317;121;1844;0
39361347;59;1155;0
39371597;121;1844;0
