uptime;angle;pulse_us;done
13563001;130;1944;0
13572251;135;2000;0
13603433;123;1866;0
13612693;135;2000;0
13633257;105;1666;0
13642364;135;2000;0
13673071;127;1911;0
13682387;135;2000;0
13693131;118;1811;0
13702575;135;2000;0
13713348;127;1911;0
13722360;135;2000;0
13733103;121;1844;0
13742345;135;2000;0
13773004;128;1922;0
13782288;135;2000;0
13792987;118;1811;0
13802576;133;1977;0
13813002;103;1644;0
13822520;130;1944;0
13832959;135;2000;0
13842244;133;1977;0
13853205;102;1633;0
13862264;129;1933;0
13872963;95;1555;0
13882256;127;1911;0
13892975;135;2000;0
13902446;131;1955;0
13912955;134;1988;0
13922616;131;1955;0
13933015;122;1855;0
13942250;129;1933;0
13953135;96;1566;0
13962275;126;1900;0
13972958;111;1733;0
13982252;125;1888;0
13992950;120;1833;0
14002553;125;1888;0
14013047;109;1711;0
14022583;123;1866;0
14032981;135;2000;0
14042289;127;1911;0
14053173;110;1722;0
14062254;125;1888;0
14072940;135;2000;0
14082249;127;1911;0
14093015;101;1622;0
14102454;125;1888;0
14112979;113;1755;0
14122270;123;1866;0
14133269;135;2000;0
14142249;126;1900;0
14153145;92;1522;0
14162259;124;1877;0
14182269;123;1866;0
14192967;102;1633;0
14229053;122;1855;0
14234578;135;2000;0
14242391;124;1877;0
14253235;116;1788;0
14262253;122;1855;0
14273063;135;2000;0
14282444;126;1900;0
14293028;77;1355;0
14302252;121;1844;0
14312961;135;2000;0
14322245;126;1900;0
14333163;79;1377;0
14342604;121;1844;0
14353021;133;1977;0
14362251;121;1844;0
14372968;135;2000;0
14382455;124;1877;0
14392976;135;2000;0
14402227;126;1900;0
14412963;105;1666;0
14422253;125;1888;0
14433360;120;1833;0
14442246;124;1877;0
14462432;88;1477;0
14472367;120;1833;0
14482604;135;2000;0
14492319;122;1855;0
14502422;100;1611;0
14512339;121;1844;0
14522418;132;1966;0
14532540;121;1844;0
14542426;135;2000;0
14552676;122;1855;0
14562420;135;2000;0
14572345;125;1888;0
14582635;68;1255;0
14592372;119;1822;0
14602443;135;2000;0
14612363;124;1877;0
14622415;88;1477;0
14632658;121;1844;0
14642400;135;2000;0
14652326;125;1888;0
14662694;82;1411;0
14672367;121;1844;0
14682612;135;2000;0
14692346;122;1855;0
14702407;88;1477;0
14712375;120;1833;0
14722381;135;2000;0
14732567;121;1844;0
14742405;135;2000;0
14752365;124;1877;0
14762417;101;1622;0
14772648;123;1866;0
14782624;116;1788;0
14792384;122;1855;0
14802390;135;2000;0
14812329;126;1900;0
14822446;63;1200;0
14832690;119;1822;0
14842404;135;2000;0
14852370;124;1877;0
14862386;123;1866;0
14883592;80;1388;0
14892241;120;1833;0
14903019;132;1966;0
14912283;121;1844;0
14922979;135;2000;0
14932464;126;1900;0
14942938;85;1444;0
14952271;122;1855;0
14962946;128;1922;0
14972247;123;1866;0
14983195;106;1677;0
14992592;121;1844;0
15002999;100;1611;0
15012245;119;1822;0
15022950;135;2000;0
15032574;126;1900;0
15042962;122;1855;0
15052256;125;1888;0
15062969;122;1855;0
15072257;125;1888;0
15083167;106;1677;0
15092243;123;1866;0
15103240;96;1566;0
15112268;121;1844;0
15122946;112;1744;0
15132455;120;1833;0
15142968;122;1855;0
15152267;120;1833;0
15162979;124;1877;0
15172259;120;1833;0
15183173;135;2000;0
15192281;125;1888;0
15203271;109;1711;0
15212257;123;1866;0
15222988;90;1500;0
15259102;120;1833;0
15264351;135;2000;0
15272401;125;1888;0
15283119;84;1433;0
15292363;120;1833;0
15303365;114;1766;0
15312558;121;1844;0
15323171;135;2000;0
15332421;123;1866;0
15343073;135;2000;0
15352371;125;1888;0
15363289;110;1722;0
15372267;123;1866;0
15382946;121;1844;0
15392274;123;1866;0
15403057;135;2000;0
15412828;125;1888;0
15422995;117;1800;0
15432277;124;1877;0
15442992;117;1800;0
15452267;124;1877;0
15463290;135;2000;0
15472247;125;1888;0
15493266;87;1466;0
15502254;122;1855;0
15513490;135;2000;0
15522271;125;1888;0
15533094;129;1933;0
15542337;125;1888;0
15553074;124;1877;0
15562576;126;1900;0
15573167;109;1711;0
15582371;122;1855;0
15593074;128;1922;0
15602354;124;1877;0
15613559;64;1211;0
15622236;118;1811;0
15632995;135;2000;0
15642259;120;1833;0
15653038;121;1844;0
15680429;135;2000;0
15691482;122;1855;0
15702403;105;1666;0
15712451;121;1844;0
15723353;116;1788;0
15732274;121;1844;0
15743055;135;2000;0
15752248;122;1855;0
15763234;108;1700;0
15772259;122;1855;0
15783012;112;1744;0
15792249;119;1822;0
15802999;134;1988;0
15812450;121;1844;0
15823367;135;2000;0
15832258;124;1877;0
15843108;79;1377;0
15852366;119;1822;0
15863421;135;2000;0
15872239;123;1866;0
15893283;132;1966;0
15902323;124;1877;0
15913217;123;1866;0
15922257;124;1877;0
15933291;109;1711;0
15942274;121;1844;0
15953004;96;1566;0
15962443;120;1833;0
15973018;135;2000;0
15982279;121;1844;0
16013308;133;1977;0
16022254;122;1855;0
16033321;135;2000;0
16042255;125;1888;0
16053015;114;1766;0
16062575;124;1877;0
16073029;107;1688;0
16082261;123;1866;0
16093017;127;1911;0
16102246;123;1866;0
16113168;135;2000;0
16122261;124;1877;0
16133294;122;1855;0
16142317;124;1877;0
16153035;127;1911;0
16162430;124;1877;0
16172999;77;1355;0
16182241;121;1844;0
16192948;135;2000;0
16202249;125;1888;0
16213188;92;1522;0
16222271;121;1844;0
16232981;128;1922;0
16242584;122;1855;0
16253002;135;2000;0
16311478;124;1877;0
16322390;122;1855;0
16332272;125;1888;0
16343424;73;1311;0
16352270;120;1833;0
16363309;135;2000;0
16372395;124;1877;0
